car_id,car_type,car_class,number_seat_first_class,number_seat_second_class,train_id
253,VTU,B,0,88,40
254,VU,A,58,0,40
255,VTU,A,58,0,40
256,VU,B,0,88,40
257,VTU,A,58,0,40
258,VTU,A,58,0,41
259,VTU,B,0,88,41
260,VU,B,0,88,41
261,VTU,B,0,88,41
262,VTU,B,0,88,41
263,VU,B,0,88,41
264,VU,B,0,88,41
265,VU,B,0,88,41
266,VU,A,58,0,42
267,VTU,A,58,0,42
268,VU,B,0,88,42
269,VU,A,58,0,42
270,VTU,B,0,88,42
271,VTU,B,0,88,42
272,VU,B,0,88,42
273,VU,A,58,0,42
274,VU,B,0,88,43
275,VTU,B,0,88,43
276,VU,B,0,88,43
277,VTU,A,58,0,43
278,VU,A,58,0,43
279,VTU,B,0,88,43
280,VU,B,0,88,44
281,VTU,B,0,88,44
282,VTU,A,58,0,44
283,VU,B,0,88,44
284,VTU,B,0,88,44
285,VU,A,58,0,45
286,VU,B,0,88,45
287,VU,A,58,0,45
288,VU,A,58,0,45
289,VU,B,0,88,45
290,VU,A,58,0,45
291,VTU,A,58,0,45
292,VTU,A,58,0,45
293,VTU,B,0,88,46
294,VTU,A,58,0,46
295,VU,B,0,88,46
296,VU,A,58,0,46
297,VTU,A,58,0,46
298,VTU,B,0,88,46
299,VTU,A,58,0,47
300,VTU,A,58,0,47
301,VTU,B,0,88,47
302,VTU,A,58,0,47
303,VU,A,58,0,47
304,VTU,A,58,0,47
305,VTU,B,0,88,47
306,VU,A,58,0,48
307,VTU,A,58,0,48
308,VU,A,58,0,48
309,VU,B,0,88,48
310,VTU,B,0,88,49
311,VU,A,58,0,49
312,VU,B,0,88,49
313,VTU,A,58,0,49
314,VTU,B,0,88,50
315,VTU,B,0,88,50
316,VU,B,0,88,50
317,VTU,B,0,88,50
318,VU,B,0,88,50
319,VU,B,0,88,50
320,VU,A,58,0,50
321,VTU,B,0,88,50
322,VTU,B,0,88,51
323,VU,B,0,88,51
324,VTU,B,0,88,51
325,VTU,B,0,88,51
326,VTU,A,58,0,51
327,VTU,A,58,0,51
328,VTU,B,0,88,51
329,VU,B,0,88,52
330,VU,A,58,0,52
331,VTU,A,58,0,52
332,VTU,B,0,88,52
333,VTU,B,0,88,52
334,VU,B,0,88,52
335,VTU,A,58,0,52
336,VU,A,58,0,52
337,VTU,A,58,0,53
338,VU,B,0,88,53
339,VTU,A,58,0,53
340,VU,A,58,0,53
341,VTU,A,58,0,54
342,VU,A,58,0,54
343,VTU,B,0,88,54
344,VTU,B,0,88,54
345,VTU,B,0,88,54
346,VTU,A,58,0,54
347,VU,A,58,0,54
348,VU,A,58,0,54
349,VU,A,58,0,55
350,VTU,B,0,88,55
351,VTU,A,58,0,55
352,VU,B,0,88,55
353,VTU,B,0,88,55
354,VU,A,58,0,56
355,VTU,B,0,88,56
356,VTU,A,58,0,56
357,VTU,B,0,88,56
358,VU,B,0,88,56
359,VTU,A,58,0,56
360,VTU,A,58,0,56
361,VU,A,58,0,56
362,VU,B,0,88,57
363,VU,A,58,0,57
364,VU,A,58,0,57
365,VU,A,58,0,57
366,VTU,A,58,0,57
367,VTU,A,58,0,57
368,VTU,B,0,88,57
369,VU,B,0,88,57
370,VTU,B,0,88,58
371,VTU,B,0,88,58
372,VU,A,58,0,58
373,VU,B,0,88,58
374,VTU,A,58,0,58
375,VTU,B,0,88,58
376,VU,A,58,0,58
377,VU,A,58,0,59
378,VTU,A,58,0,59
379,VTU,A,58,0,59
380,VTU,B,0,88,59
381,VU,B,0,88,60
382,VTU,A,58,0,60
383,VTU,A,58,0,60
384,VTU,B,0,88,60
385,VTU,A,58,0,60
386,VU,A,58,0,60
387,VU,B,0,88,61
388,VU,A,58,0,61
389,VU,A,58,0,61
390,VU,A,58,0,61
391,VTU,B,0,88,61
392,VTU,A,58,0,61
393,VU,A,58,0,62
394,VU,B,0,88,62
395,VTU,A,58,0,62
396,VTU,B,0,88,62
397,VTU,A,58,0,62
398,VU,B,0,88,62
399,VU,B,0,88,62
400,VTU,B,0,88,63
401,VU,B,0,88,63
402,VTU,B,0,88,63
403,VU,B,0,88,63
404,VU,B,0,88,64
405,VU,B,0,88,64
406,VTU,A,58,0,64
407,VTU,A,58,0,64
408,VU,A,58,0,64
409,VTU,A,58,0,64
410,VTU,A,58,0,64
411,VTU,A,58,0,65
412,VTU,B,0,88,65
413,VTU,A,58,0,65
414,VU,A,58,0,65
415,VU,A,58,0,65
416,VTU,B,0,88,65
417,VU,B,0,88,65
418,VTU,A,58,0,66
419,VTU,B,0,88,66
420,VU,B,0,88,66
421,VU,B,0,88,66
422,VU,A,58,0,66
423,VU,B,0,88,67
424,VTU,A,58,0,67
425,VU,B,0,88,67
426,VTU,A,58,0,67
427,VTU,B,0,88,67
428,VU,B,0,88,68
429,VTU,A,58,0,68
430,VU,B,0,88,68
431,VTU,B,0,88,68
432,VTU,A,58,0,68
433,VU,A,58,0,68
434,VU,B,0,88,68
435,VTU,B,0,88,69
436,VTU,A,58,0,69
437,VTU,A,58,0,69
438,VTU,A,58,0,69
439,VU,A,58,0,69
440,VTU,B,0,88,69
441,VU,B,0,88,69
442,VTU,B,0,88,70
443,VU,A,58,0,70
444,VU,A,58,0,70
445,VU,A,58,0,70
446,VTU,B,0,88,70
447,VTU,B,0,88,70
448,VU,A,58,0,71
449,VTU,A,58,0,71
450,VU,A,58,0,71
451,VU,A,58,0,71
452,VTU,A,58,0,71
453,VU,A,58,0,71
454,VTU,A,58,0,71
455,VTU,B,0,88,72
456,VTU,A,58,0,72
457,VU,B,0,88,72
458,VTU,B,0,88,72
459,VU,A,58,0,72
460,VU,A,58,0,72
461,VU,A,58,0,72
462,VTU,A,58,0,72
463,VTU,A,58,0,73
464,VTU,B,0,88,73
465,VTU,B,0,88,73
466,VTU,A,58,0,73
467,VTU,B,0,88,73
468,VTU,B,0,88,73
469,VU,B,0,88,74
470,VU,B,0,88,74
471,VU,A,58,0,74
472,VTU,A,58,0,74
473,VU,A,58,0,75
474,VTU,B,0,88,75
475,VU,B,0,88,75
476,VU,A,58,0,75
477,VTU,A,58,0,75
478,VU,B,0,88,75
479,VU,B,0,88,75
480,VU,B,0,88,76
481,VU,B,0,88,76
482,VTU,A,58,0,76
483,VTU,B,0,88,76
484,VU,A,58,0,76
485,VTU,A,58,0,76
486,VTU,A,58,0,77
487,VTU,A,58,0,77
488,VU,B,0,88,77
489,VU,A,58,0,77
490,VU,B,0,88,77
491,VU,A,58,0,77
492,VU,B,0,88,77
493,VU,B,0,88,77
494,VTU,A,58,0,78
495,VTU,B,0,88,78
496,VTU,A,58,0,78
497,VTU,A,58,0,78
498,VTU,B,0,88,79
499,VTU,A,58,0,79
500,VU,A,58,0,79
501,VU,A,58,0,79
502,VU,B,0,88,79
503,VTU,A,58,0,79
504,VTU,B,0,88,80
505,VU,A,58,0,80
506,VTU,A,58,0,80
507,VTU,A,58,0,80
508,VTU,B,0,88,81
509,VU,B,0,88,81
510,VU,B,0,88,81
511,VTU,B,0,88,81
512,VU,B,0,88,81
513,VTU,A,58,0,82
514,VU,A,58,0,82
515,VU,B,0,88,82
516,VU,A,58,0,82
517,VU,B,0,88,82
518,VTU,B,0,88,83
519,VU,B,0,88,83
520,VU,A,58,0,83
521,VU,B,0,88,83
522,VU,A,58,0,83
523,VU,A,58,0,84
524,VTU,B,0,88,84
525,VU,A,58,0,84
526,VTU,B,0,88,84
527,VTU,A,58,0,84
528,VTU,A,58,0,84
529,VU,B,0,88,84
530,VTU,B,0,88,84
531,VTU,A,58,0,85
532,VU,A,58,0,85
533,VTU,B,0,88,85
534,VU,B,0,88,85
535,VU,A,58,0,85
536,VU,A,58,0,86
537,VU,A,58,0,86
538,VTU,B,0,88,86
539,VTU,B,0,88,86
540,VU,A,58,0,86
541,VTU,A,58,0,86
542,VU,B,0,88,86
543,VU,B,0,88,86
544,VTU,B,0,88,87
545,VU,A,58,0,87
546,VTU,A,58,0,87
547,VTU,A,58,0,87
548,VTU,B,0,88,87
549,VU,A,58,0,87
550,VTU,A,58,0,88
551,VTU,A,58,0,88
552,VU,B,0,88,88
553,VU,B,0,88,88
554,VU,A,58,0,89
555,VTU,A,58,0,89
556,VTU,B,0,88,89
557,VU,A,58,0,89
558,VTU,A,58,0,89
559,VU,A,58,0,89
560,VTU,B,0,88,89
561,VU,A,58,0,89
562,VU,A,58,0,90
563,VU,B,0,88,90
564,VTU,A,58,0,90
565,VU,B,0,88,90
566,VU,B,0,88,90
567,VU,B,0,88,90
568,VTU,A,58,0,90
569,VTU,B,0,88,90
570,VU,B,0,88,91
571,VTU,B,0,88,91
572,VTU,A,58,0,91
573,VU,B,0,88,91
574,VU,B,0,88,91
575,VTU,B,0,88,92
576,VU,B,0,88,92
577,VTU,B,0,88,92
578,VU,A,58,0,92
579,VTU,B,0,88,93
580,VU,B,0,88,93
581,VTU,A,58,0,93
582,VTU,B,0,88,93
583,VTU,A,58,0,94
584,VTU,A,58,0,94
585,VU,B,0,88,94
586,VU,B,0,88,94
587,VU,B,0,88,95
588,VTU,B,0,88,95
589,VU,B,0,88,95
590,VTU,A,58,0,95
591,VTU,A,58,0,95
592,VTU,B,0,88,96
593,VTU,B,0,88,96
594,VTU,A,58,0,96
595,VU,B,0,88,96
596,VU,B,0,88,96
597,VTU,B,0,88,96
598,VTU,B,0,88,96
599,VTU,B,0,88,97
600,VU,A,58,0,97
601,VU,B,0,88,97
602,VU,A,58,0,97
603,VTU,A,58,0,97
604,VTU,B,0,88,97
605,VTU,B,0,88,97
606,VU,B,0,88,97
607,VTU,B,0,88,98
608,VU,A,58,0,98
609,VTU,A,58,0,98
610,VU,A,58,0,98
611,VU,B,0,88,99
612,VTU,A,58,0,99
613,VU,A,58,0,99
614,VU,A,58,0,99
615,VU,B,0,88,99
616,VU,B,0,88,100
617,VTU,A,58,0,100
618,VTU,A,58,0,100
619,VTU,A,58,0,100
620,VTU,B,0,88,100
621,VTU,A,58,0,101
622,VTU,B,0,88,101
623,VTU,B,0,88,101
624,VU,B,0,88,101
625,VTU,A,58,0,101
626,VTU,B,0,88,102
627,VTU,A,58,0,102
628,VU,B,0,88,102
629,VTU,A,58,0,102
630,VU,A,58,0,102
631,VU,A,58,0,102
632,VTU,A,58,0,103
633,VU,A,58,0,103
634,VU,B,0,88,103
635,VU,B,0,88,103
636,VU,A,58,0,103
637,VTU,A,58,0,103
638,VU,A,58,0,103
639,VTU,A,58,0,104
640,VTU,B,0,88,104
641,VTU,B,0,88,104
642,VU,A,58,0,104
643,VTU,B,0,88,104
644,VU,A,58,0,104
645,VTU,A,58,0,104
646,VTU,B,0,88,104
647,VU,B,0,88,105
648,VU,A,58,0,105
649,VU,A,58,0,105
650,VU,B,0,88,105
651,VU,A,58,0,105
652,VU,B,0,88,105
653,VU,A,58,0,105
654,VTU,B,0,88,106
655,VU,A,58,0,106
656,VTU,B,0,88,106
657,VU,A,58,0,106
658,VU,A,58,0,107
659,VU,B,0,88,107
660,VTU,A,58,0,107
661,VU,A,58,0,107
662,VU,A,58,0,108
663,VU,A,58,0,108
664,VTU,A,58,0,108
665,VTU,B,0,88,108
666,VTU,B,0,88,108
667,VTU,B,0,88,108
668,VTU,B,0,88,108
669,VU,B,0,88,108
670,VU,B,0,88,109
671,VTU,B,0,88,109
672,VTU,B,0,88,109
673,VTU,B,0,88,109
674,VTU,B,0,88,110
675,VU,B,0,88,110
676,VU,B,0,88,110
677,VTU,B,0,88,110
678,VTU,A,58,0,110
679,VTU,A,58,0,110
680,VTU,A,58,0,110
681,VTU,B,0,88,111
682,VU,B,0,88,111
683,VU,A,58,0,111
684,VTU,B,0,88,111
685,VU,B,0,88,112
686,VU,A,58,0,112
687,VTU,B,0,88,112
688,VTU,B,0,88,112
689,VTU,B,0,88,112
690,VU,B,0,88,112
691,VTU,A,58,0,112
692,VTU,B,0,88,112
693,VTU,A,58,0,113
694,VU,B,0,88,113
695,VU,A,58,0,113
696,VU,A,58,0,113
697,VU,B,0,88,113
698,VTU,A,58,0,113
699,VTU,B,0,88,114
700,VU,B,0,88,114
701,VTU,A,58,0,114
702,VU,B,0,88,114
703,VU,B,0,88,114
704,VTU,B,0,88,114
705,VU,B,0,88,114
706,VTU,A,58,0,114
707,VU,B,0,88,115
708,VTU,A,58,0,115
709,VU,A,58,0,115
710,VU,B,0,88,115
711,VTU,A,58,0,115
712,VTU,A,58,0,116
713,VTU,A,58,0,116
714,VU,B,0,88,116
715,VTU,B,0,88,116
716,VU,A,58,0,116
717,VTU,B,0,88,116
718,VTU,A,58,0,116
719,VU,B,0,88,117
720,VTU,B,0,88,117
721,VU,B,0,88,117
722,VTU,A,58,0,117
723,VU,A,58,0,117
724,VU,A,58,0,117
725,VTU,A,58,0,118
726,VU,A,58,0,118
727,VU,A,58,0,118
728,VU,A,58,0,118
729,VU,A,58,0,118
730,VTU,B,0,88,118
731,VU,A,58,0,118
732,VTU,B,0,88,119
733,VTU,A,58,0,119
734,VTU,B,0,88,119
735,VTU,A,58,0,119
736,VU,B,0,88,119
737,VU,B,0,88,120
738,VU,B,0,88,120
739,VTU,A,58,0,120
740,VU,B,0,88,120
741,VU,A,58,0,120
742,VTU,A,58,0,120
743,VU,B,0,88,120
744,VTU,B,0,88,120
745,VTU,A,58,0,121
746,VTU,B,0,88,121
747,VU,B,0,88,121
748,VU,B,0,88,121
749,VTU,A,58,0,121
750,VU,B,0,88,122
751,VU,A,58,0,122
752,VTU,A,58,0,122
753,VU,A,58,0,122
754,VTU,A,58,0,122
755,VTU,B,0,88,122
756,VU,B,0,88,123
757,VU,B,0,88,123
758,VU,A,58,0,123
759,VU,A,58,0,123
760,VU,B,0,88,123
761,VTU,A,58,0,123
762,VU,A,58,0,123
763,VTU,B,0,88,124
764,VU,B,0,88,124
765,VU,A,58,0,124
766,VU,A,58,0,124
767,VTU,B,0,88,124
768,VTU,A,58,0,124
769,VTU,B,0,88,124
770,VU,B,0,88,125
771,VTU,B,0,88,125
772,VU,B,0,88,125
773,VU,A,58,0,125
774,VTU,B,0,88,125
775,VU,A,58,0,125
776,VTU,B,0,88,126
777,VTU,B,0,88,126
778,VU,A,58,0,126
779,VTU,A,58,0,126
780,VTU,B,0,88,126
781,VTU,A,58,0,126
782,VU,A,58,0,126
783,VU,B,0,88,127
784,VTU,A,58,0,127
785,VTU,A,58,0,127
786,VU,B,0,88,127
787,VU,B,0,88,127
788,VTU,B,0,88,127
789,VU,A,58,0,128
790,VTU,A,58,0,128
791,VTU,B,0,88,128
792,VU,B,0,88,128
793,VU,A,58,0,128
794,VTU,B,0,88,128
795,VU,A,58,0,128
796,VU,A,58,0,129
797,VTU,B,0,88,129
798,VTU,B,0,88,129
799,VTU,B,0,88,129
800,VTU,B,0,88,129
801,VTU,B,0,88,129
802,VTU,A,58,0,129
803,VU,B,0,88,129
804,VU,A,58,0,130
805,VTU,B,0,88,130
806,VU,B,0,88,130
807,VU,A,58,0,130
808,VU,B,0,88,131
809,VTU,A,58,0,131
810,VTU,B,0,88,131
811,VTU,A,58,0,131
812,VU,A,58,0,131
813,VU,B,0,88,131
814,VTU,A,58,0,131
815,VTU,B,0,88,131
816,VTU,A,58,0,132
817,VTU,A,58,0,132
818,VTU,A,58,0,132
819,VTU,A,58,0,132
820,VU,B,0,88,132
821,VU,B,0,88,132
822,VTU,A,58,0,132
823,VU,A,58,0,133
824,VU,B,0,88,133
825,VU,B,0,88,133
826,VU,B,0,88,133
827,VU,A,58,0,133
828,VU,B,0,88,133
829,VTU,B,0,88,133
830,VTU,B,0,88,134
831,VU,A,58,0,134
832,VTU,B,0,88,134
833,VTU,B,0,88,134
834,VTU,B,0,88,134
835,VTU,B,0,88,135
836,VU,A,58,0,135
837,VTU,A,58,0,135
838,VU,B,0,88,135
839,VTU,A,58,0,135
840,VU,A,58,0,135
841,VTU,A,58,0,135
842,VTU,A,58,0,135
843,VTU,A,58,0,136
844,VU,A,58,0,136
845,VTU,B,0,88,136
846,VTU,A,58,0,136
847,VU,A,58,0,136
848,VTU,B,0,88,136
849,VTU,B,0,88,137
850,VTU,A,58,0,137
851,VU,B,0,88,137
852,VTU,B,0,88,137
853,VU,A,58,0,137
854,VTU,A,58,0,137
855,VTU,A,58,0,138
856,VTU,B,0,88,138
857,VU,B,0,88,138
858,VU,B,0,88,138
859,VTU,A,58,0,138
860,VTU,B,0,88,139
861,VTU,B,0,88,139
862,VU,B,0,88,139
863,VU,A,58,0,139
864,VTU,A,58,0,139
865,VU,B,0,88,139
866,VTU,B,0,88,139
867,VTU,A,58,0,140
868,VU,A,58,0,140
869,VU,B,0,88,140
870,VTU,B,0,88,140
871,VTU,B,0,88,140
872,VU,A,58,0,140
873,VU,B,0,88,141
874,VTU,B,0,88,141
875,VU,B,0,88,141
876,VU,B,0,88,141
877,VTU,A,58,0,141
878,VU,A,58,0,141
879,VU,A,58,0,141
880,VU,A,58,0,141
881,VU,B,0,88,142
882,VTU,B,0,88,142
883,VU,A,58,0,142
884,VU,B,0,88,142
885,VU,A,58,0,142
886,VU,A,58,0,142
887,VU,A,58,0,142
888,VU,B,0,88,142
889,VU,A,58,0,143
890,VU,B,0,88,143
891,VU,B,0,88,143
892,VU,A,58,0,143
893,VU,A,58,0,144
894,VU,A,58,0,144
895,VTU,A,58,0,144
896,VU,B,0,88,144
897,VU,A,58,0,145
898,VTU,B,0,88,145
899,VTU,A,58,0,145
900,VTU,B,0,88,145
901,VU,A,58,0,146
902,VTU,A,58,0,146
903,VU,B,0,88,146
904,VU,A,58,0,146
905,VTU,A,58,0,146
906,VU,B,0,88,147
907,VU,B,0,88,147
908,VU,B,0,88,147
909,VU,A,58,0,147
910,VU,A,58,0,147
911,VTU,B,0,88,148
912,VTU,B,0,88,148
913,VU,A,58,0,148
914,VTU,A,58,0,148
915,VTU,A,58,0,148
916,VU,A,58,0,148
917,VTU,B,0,88,149
918,VU,B,0,88,149
919,VU,B,0,88,149
920,VU,B,0,88,149
921,VTU,B,0,88,150
922,VTU,A,58,0,150
923,VTU,B,0,88,150
924,VU,B,0,88,150
925,VTU,B,0,88,151
926,VU,A,58,0,151
927,VTU,B,0,88,151
928,VU,A,58,0,151
929,VU,B,0,88,151
930,VU,A,58,0,151
931,VTU,A,58,0,152
932,VU,B,0,88,152
933,VU,B,0,88,152
934,VU,B,0,88,152
935,VTU,A,58,0,152
936,VTU,A,58,0,152
937,VU,B,0,88,152
938,VU,B,0,88,153
939,VTU,A,58,0,153
940,VU,B,0,88,153
941,VTU,B,0,88,153
942,VTU,B,0,88,153
943,VU,A,58,0,153
944,VTU,B,0,88,154
945,VU,A,58,0,154
946,VU,A,58,0,154
947,VU,B,0,88,154
948,VTU,A,58,0,154
949,VTU,B,0,88,154
950,VU,B,0,88,154
951,VTU,A,58,0,154
952,VTU,B,0,88,155
953,VU,A,58,0,155
954,VU,B,0,88,155
955,VTU,A,58,0,155
956,VU,B,0,88,155
957,VU,B,0,88,155
958,VTU,A,58,0,155
959,VU,B,0,88,156
960,VTU,B,0,88,156
961,VTU,A,58,0,156
962,VU,B,0,88,156
963,VTU,A,58,0,156
964,VTU,B,0,88,157
965,VU,A,58,0,157
966,VU,A,58,0,157
967,VTU,B,0,88,157
968,VU,B,0,88,157
969,VTU,A,58,0,157
970,VU,A,58,0,157
971,VU,A,58,0,158
972,VTU,B,0,88,158
973,VU,B,0,88,158
974,VU,A,58,0,158
975,VU,A,58,0,158
976,VTU,B,0,88,158
977,VU,A,58,0,159
978,VTU,A,58,0,159
979,VU,A,58,0,159
980,VTU,A,58,0,159
981,VTU,A,58,0,160
982,VTU,B,0,88,160
983,VTU,A,58,0,160
984,VU,A,58,0,160
985,VTU,A,58,0,160
986,VTU,A,58,0,160
987,VU,B,0,88,160
988,VTU,A,58,0,161
989,VTU,B,0,88,161
990,VTU,A,58,0,161
991,VU,A,58,0,161
992,VTU,A,58,0,161
993,VU,B,0,88,162
994,VTU,A,58,0,162
995,VTU,B,0,88,162
996,VU,A,58,0,162
997,VTU,B,0,88,162
998,VU,A,58,0,163
999,VTU,B,0,88,163
1000,VTU,A,58,0,163
1001,VTU,A,58,0,163
1002,VU,B,0,88,163
1003,VU,A,58,0,163
1004,VTU,B,0,88,163
1005,VTU,A,58,0,163
1006,VTU,A,58,0,164
1007,VTU,B,0,88,164
1008,VTU,A,58,0,164
1009,VTU,A,58,0,164
1010,VU,A,58,0,164
1011,VTU,B,0,88,164
1012,VU,B,0,88,164
1013,VTU,A,58,0,164
1014,VTU,B,0,88,165
1015,VTU,A,58,0,165
1016,VU,B,0,88,165
1017,VU,A,58,0,165
1018,VU,B,0,88,165
1019,VTU,A,58,0,165
1020,VTU,A,58,0,165
1021,VTU,B,0,88,165
1022,VTU,B,0,88,166
1023,VTU,A,58,0,166
1024,VTU,B,0,88,166
1025,VU,B,0,88,166
1026,VTU,B,0,88,166
1027,VU,A,58,0,166
1028,VU,B,0,88,166
1029,VTU,B,0,88,166
1030,VU,B,0,88,167
