route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
OCESN-87741009-87697128,OCESN,"","Chambéry-Chal.-les-Eaux - Lyon-Part-Dieu-Gare-Rou",,3,,,
OCESN-87697128-87698662,OCESN,"","Lyon-Part-Dieu-Gare-Rou - Saint-Etienne-Chtx GR",,3,,,
OCESN-87722025-87698662,OCESN,"","Lyon-Perrache - Saint-Etienne-Chtx GR",,3,,,
OCESN-87335521-87761718,OCESN,"","Grenoble-Gare-Routière - St-Marcellin",,3,,,
OCESN-87335521-87556506,OCESN,"","Grenoble-Gare-Routière - Valence-Gare-Routière",,3,,,
OCESN-87743716-87696013,OCESN,"","Ambérieu-en-Bugey - Bourg-en-Bresse Gare R",,3,,,
OCESN-87723429-87741009,OCESN,"","Bourgoin-Jallieu - Chambéry-Chal.-les-Eaux",,3,,,
OCE889871,OCESN,"","Cars travaux LYD - SAG - CR",,3,,,
OCESN-87747246-87723494,OCESN,"","Rives - St-André-le-Gaz",,3,,,
OCESN-87335521-87723494,OCESN,"","Grenoble-Gare-Routière - St-André-le-Gaz",,3,,,
OCESN-87335521-87697128,OCESN,"","Grenoble-Gare-Routière - Lyon-Part-Dieu-Gare-Rou",,3,,,
OCESN-87723429-87723494,OCESN,"","Bourgoin-Jallieu - St-André-le-Gaz",,3,,,
OCESN-87697128-87723494,OCESN,"","Lyon-Part-Dieu-Gare-Rou - St-André-le-Gaz",,3,,,
OCESN-87697136-87723494,OCESN,"","Lyon-Perrache-Gare-Rout - St-André-le-Gaz",,3,,,
OCESN-87697128-87556506,OCESN,"","Lyon-Part-Dieu-Gare-Rou - Valence-Gare-Routière",,3,,,
OCESN-87697136-87556506,OCESN,"","Lyon-Perrache-Gare-Rout - Valence-Gare-Routière",,3,,,
OCESN-87757625-87755371,OCESN,"","Cannes - Carnoules",,3,,,
OCESN-87755371-87755447,OCESN,"","Carnoules - Les Arcs-Draguignan",,3,,,
OCESN-87756056-87755009,OCESN,"","Nice-Ville - Toulon",,3,,,
OCESN-87757625-87755447,OCESN,"","Cannes - Les Arcs-Draguignan",,3,,,
OCESN-87755447-87757526,OCESN,"","Les Arcs-Draguignan - St-Raphaël-Valescure",,3,,,
OCESN-87755314-87755447,OCESN,"","La Pauline-Hyères - Les Arcs-Draguignan",,3,,,
OCESN-87765008-87765503,OCESN,"","Avignon-Centre - Cavaillon",,3,,,
OCESN-87318964-87753004,OCESN,"","Avignon-TGV - Miramas",,3,,,
OCESN-87765503-87753004,OCESN,"","Cavaillon - Miramas",,3,,,
OCESN-87751008-87753004,OCESN,"","Marseille-St-Charles - Miramas",,3,,,
OCE2294168,OCESN,"","CAR Marseille/Miramas via PDB",,3,,,
OCESN-87753509-87753004,OCESN,"","Martigues - Miramas",,3,,,
OCESN-87733840-87753509,OCESN,"","Marseille-Arenc le Silo - Martigues",,3,,,
OCESN-87733840-87753004,OCESN,"","Marseille-Arenc le Silo - Miramas",,3,,,
OCESN-87733931-87733840,OCESN,"","La Couronne-Cimetière - Marseille-Arenc le Silo",,3,,,
OCESN-87541797-87751420,OCESN,"","Aix-Gare-Routière - Gardanne",,3,,,
OCESN-87541797-87751438,OCESN,"","Aix-Gare-Routière - Simiane",,3,,,
OCESN-87541797-87751008,OCESN,"","Aix-Gare-Routière - Marseille-St-Charles",,3,,,
OCESN-87491001-87491209,OCESN,"","Saintes - St-Mariens-St-Yzan",,3,,,
OCESN-87581009-87491001,OCESN,"","Bordeaux-St-Jean - Saintes",,3,,,
OCESN-87491142-87491001,OCESN,"","Jonzac - Saintes",,3,,,
OCESN-87583005-87491001,OCESN,"","Angoulême - Saintes",,3,,,
OCESN-87583005-87491803,OCESN,"","Angoulême - Royan",,3,,,
OCESN-87491449-87491803,OCESN,"","Cognac - Royan",,3,,,
OCESN-87491449-87491001,OCESN,"","Cognac - Saintes",,3,,,
OCESN-87295063-87588954,OCESN,"","Hirson - Laon-Gare-Routière-Poma",,3,,,
OCESN-87324335-87588954,OCESN,"","Hirson-Ecoles - Laon-Gare-Routière-Poma",,3,,,
OCE1474033,OCESN,"","[AM22C] PARIS - CREIL - AMIENS / CAR",,3,,,
OCESN-87276691-87296004,OCESN,"","Compiègne - St Quentin",,3,,,
OCE1105890,OCESN,"","[AM05C] LAON - HIRSON / CAR",,3,,,
OCESN-87313874-87411017,OCESN,"","Amiens - Rouen-Rive-Droite",,3,,,
OCE1474035,OCESN,"","[AM02C] AMIENS - SERQUEUX / CAR",,3,,,
OCESN-87313759-87313874,OCESN,"","Abancourt - Amiens",,3,,,
OCESN-87486019-87481002,OCESN,"","La Roche-sur-Yon - Nantes",,3,,,
OCESN-87486449-87481002,OCESN,"","Les Sables-d'Olonne - Nantes",,3,,,
OCESN-87481440-87486019,OCESN,"","Clisson - La Roche-sur-Yon",,3,,,
OCESN-87396002-87394296,OCESN,"","Le Mans - Nogent-le-Rotrou",,3,,,
OCESN-87345009-87343004,OCESN,"","Douai - Valenciennes",,3,,,
OCESN-87342014-87342006,OCESN,"","Arras - Béthune",,3,,,
OCESN-87317586-87317057,OCESN,"","Boulogne Ville - Rang du Fl. Verton Ber.",,3,,,
OCESN-87295600-87296004,OCESN,"","Aulnoye Aymeries - St Quentin",,3,,,
OCESN-87342048-87342014,OCESN,"","Achiet - Arras",,3,,,
OCESN-87345520-87296004,OCESN,"","Cambrai Ville - St Quentin",,3,,,
OCESN-87295600-87295063,OCESN,"","Aulnoye Aymeries - Hirson",,3,,,
OCESN-87296244-87345520,OCESN,"","Busigny - Cambrai Ville",,3,,,
OCESN-87295600-87343004,OCESN,"","Aulnoye Aymeries - Valenciennes",,3,,,
OCESN-87295600-87295014,OCESN,"","Aulnoye Aymeries - Jeumont",,3,,,
OCESN-87295014-87343004,OCESN,"","Jeumont - Valenciennes",,3,,,
OCESN-87317586-87317263,OCESN,"","Boulogne Ville - Calais Ville",,3,,,
OCESN-87286302-87281444,OCESN,"","Hazebrouck - St Omer",,3,,,
OCESN-87317263-87281444,OCESN,"","Calais Ville - St Omer",,3,,,
OCESN-87342014-87342337,OCESN,"","Arras - St Pol sur Ternoise",,3,,,
OCE1630118,OCESN,"","CAR-Lille-Dunkerque",,3,,,
OCESN-87342006-87281006,OCESN,"","Béthune - Dunkerque",,3,,,
OCESN-87286302-87286005,OCESN,"","Hazebrouck - Lille Flandres",,3,,,
OCESN-87295600-87295220,OCESN,"","Aulnoye Aymeries - Le Cateau",,3,,,
OCESN-87281006-87286005,OCESN,"","Dunkerque - Lille Flandres",,3,,,
OCESN-87295600-87295006,OCESN,"","Aulnoye Aymeries - Maubeuge",,3,,,
OCESN-87345520-87343004,OCESN,"","Cambrai Ville - Valenciennes",,3,,,
OCESN-87296244-87296004,OCESN,"","Busigny - St Quentin",,3,,,
OCE1630125,OCESN,"","CAR-Lille-Valenciennes-Aulnoye-Hirson",,3,,,
OCE1630126,OCESN,"","CAR-Jeumont-Aulnoye-Busigny-St Quentin",,3,,,
OCE1630111,OCESN,"","CAR-Lille-Douai-Arras",,3,,,
OCE1630127,OCESN,"","CAR-St Quentin-Douai-Lille",,3,,,
OCE1630113,OCESN,"","CAR-Rang du Fliers-Calais",,3,,,
OCE180694,OCESN,"","Bus 4726 4724 1240 4723 4727 1260 4728 Toulouse -LNN SSTL- Luchon Pau",,3,,,
OCE4624,OCESN,"","Rodez / Millau / Tournemire-Roquefort",,3,,,
OCESN-87193003-87192039,OCESN,"","Forbach - Metz-Ville",,3,,,
OCESN-87192039-87193615,OCESN,"","Metz-Ville - Sarreguemines",,3,,,
OCESN-87192666-87191114,OCESN,"","Conflans-Jarny - Hagondange",,3,,,
OCESN-87193003-80253914,OCESN,"","Forbach - Saarbrücken /Sarrebruck",,3,,,
OCESN-87192039-87192237,OCESN,"","Metz-Ville - Rémilly",,3,,,
OCESN-87192039-87215012,OCESN,"","Metz-Ville - Sarrebourg",,3,,,
OCESN-87194274-87191007,OCESN,"","Longuyon - Thionville",,3,,,
OCESN-87192658-87141002,OCESN,"","Baroncourt - Nancy-Ville",,3,,,
OCESN-87144006-87144097,OCESN,"","Epinal - Thaon",,3,,,
OCESN-87192666-87175778,OCESN,"","Conflans-Jarny - Verdun",,3,,,
OCESN-87194001-87141002,OCESN,"","Longwy - Nancy-Ville",,3,,,
OCESN-87141069-87141002,OCESN,"","Liverdun - Nancy-Ville",,3,,,
OCESN-87175042-87171553,OCESN,"","Bar-le-Duc - Epernay",,3,,,
OCESN-87615286-87611004,OCESN,"","Carcassonne - Toulouse-Matabiau",,3,,,
OCESN-87615039-87611004,OCERRR MidiPy,"","Castelnaudary - Toulouse-Matabiau",,3,,,
OCESN-87781104-87611004,OCESN,"","Narbonne - Toulouse-Matabiau",,3,,,
OCESN-87775007-87775817,OCESN,"","Nîmes - Vauvert",,3,,,
OCESN-87775866-87775007,OCESN,"","Le Grau-du-Roi - Nîmes",,3,,,
OCESN-87615039-87781104,OCESN,"","Castelnaudary - Narbonne",,3,,,
OCESN-87785006-87784009,OCESN,"","Cerbère - Perpignan",,3,,,
OCESN-87142125-87118000,OCESN,"","Culmont-Chalindrey - Troyes",,3,,,
OCESN-87713040-87118000,OCESN,"","Dijon-Ville - Troyes",,3,,,
OCESN-87142000-87118000,OCESN,"","Chaumont - Troyes",,3,,,
OCESN-87175000-87174276,OCESN,"","St-Dizier - Vitry-le-François",,3,,,
OCESN-87174003-87175000,OCESN,"","Châlons-en-Champagne - St-Dizier",,3,,,
OCESN-87174003-87171553,OCESN,"","Châlons-en-Champagne - Epernay",,3,,,
OCE981882,OCESN,"","BUS TX PARIS - BAR LE DUC",,3,,,
OCESN-87171009-87175000,OCESN,"","Reims - St-Dizier",,3,,,
OCESN-87174003-87171009,OCESN,"","Châlons-en-Champagne - Reims",,3,,,
OCESN-87142125-87175000,OCESN,"","Culmont-Chalindrey - St-Dizier",,3,,,
OCE981884,OCESN,"","BUS CGV - RE - DN",,3,,,
OCESN-87174003-87142125,OCESN,"","Châlons-en-Champagne - Culmont-Chalindrey",,3,,,
OCESN-87142000-87174003,OCESN,"","Chaumont - Châlons-en-Champagne",,3,,,
OCESN-87296012-87171009,OCESN,"","Laon - Reims",,3,,,
OCE981889,OCESN,"","BUS TER LAON - REIMS",,3,,,
OCE981890,OCESN,"","BUT TX  CGV - SEDAN",,3,,,
OCE817865,OCESN,"","Eguzon - Argenton - Châteauroux CAR",,3,,,
OCE817848,OCESN,"","Les Aubrais - Blois - Tours CAR",,3,,,
OCESN-87543017-87576009,OCESN,"","Aubrais-(les) - Vierzon",,3,,,
OCESN-87597120-87576009,OCESN,"","Argenton-sur-Creuse - Vierzon",,3,,,
OCESN-87597005-87576009,OCESN,"","Châteauroux - Vierzon",,3,,,
OCESN-87571687-87571000,OCESN,"","Chinon - Tours",,3,,,
OCESN-87576207-87576322,OCESN,"","Bourges - St-Amand-Montrond-Orval",,3,,,
OCESN-87696195-87559070,OCESN,"","La-Charité-sur-Loire - Nevers-Le-Banlay",,3,,,
OCESN-87696146-87559070,OCESN,"","Cosne-sur-Loire - Nevers-Le-Banlay",,3,,,
OCESN-87696146-87696005,OCESN,"","Cosne-sur-Loire - Nevers",,3,,,
OCESN-87713735-87713677,OCESN,"","Louhans - Seurre",,3,,,
OCESN-87713040-87713677,OCESN,"","Dijon-Ville - Seurre",,3,,,
OCESN-87713677-87718296,OCESN,"","Seurre - St-Amour",,3,,,
OCESN-87713008-87713859,OCESN,"","Dijon-Porte-Neuve - Is-sur-Tille",,3,,,
OCESN-87713040-87713859,OCESN,"","Dijon-Ville - Is-sur-Tille",,3,,,
OCESN-87683268-87683003,OCESN,"","Laroche-Migennes - Sens",,3,,,
OCESN-87715136-85042150,OCESN,"","Frasne - Travers",,3,,,
OCESN-87645002-87613091,OCESN,"","Aurillac - Figeac",,3,,,
OCESN-87734004-87734699,OCESN,"","Clermont-Ferrand - Le Puy-en-Velay",,3,,,
OCESN-87734269-87734004,OCESN,"","Brioude - Clermont-Ferrand",,3,,,
OCESN-87732404-87732008,OCESN,"","Gannat - Vichy",,3,,,
OCESN-87734004-87696328,OCESN,"","Clermont-Ferrand - Moulins-sur-Allier",,3,,,
OCESN-87734004-87732008,OCESN,"","Clermont-Ferrand - Vichy",,3,,,
OCESN-87734004-87734053,OCESN,"","Clermont-Ferrand - Riom-Châtel-Guyon",,3,,,
OCESN-87734004-87641001,OCESN,"","Clermont-Ferrand - Montluçon-Ville",,3,,,
OCESN-87732404-87734053,OCESN,"","Gannat - Riom-Châtel-Guyon",,3,,,
OCESN-87732404-87641001,OCESN,"","Gannat - Montluçon-Ville",,3,,,
OCESN-87641001-87576009,OCESN,"","Montluçon-Ville - Vierzon",,3,,,
OCESN-87581009-87491209,OCESN,"","Bordeaux-St-Jean - St-Mariens-St-Yzan",,3,,,
OCESN-85000109-87182063,OCESN,"","Basel-SBB - Mulhouse",,3,,,
OCESN-87182667-87182063,OCESN,"","Lutterbach (Haut-Rhin) - Mulhouse",,3,,,
OCESN-87182014-87182063,OCESN,"","Colmar - Mulhouse",,3,,,
OCE645599,OCESN,"","Cars Travaux Colmar - Metzeral",,3,,,
OCE645627,OCESN,"","Cars Travaux Mulhouse - Thann - Kruth",,3,,,
OCE649576,OCESN,"","Cars Travaux Strasbourg-Sélestat-Colmar-Mulhouse-Bâle",,3,,,
OCE645613,OCESN,"","Cars Travaux Strasbourg - Kehl",,3,,,
OCESN-87212340-87212027,OCESN,"","Herrlisheim (Bas-Rhin) - Strasbourg",,3,,,
OCESN-87212464-87212027,OCESN,"","Lauterbourg - Strasbourg",,3,,,
OCESN-87212407-87212027,OCESN,"","Roeschwoog - Strasbourg",,3,,,
OCE1097897,OCESN,"","Chateaubriant - Janze",,3,,,
OCESN-87574004-87702514,OCENI,"","Blois-Chambord - Château de Chambord",,3,,,
OCESN-87726364-87545756,OCENI,"","Chartres Pôle Compa - Châteaudun",,3,,,
OCE2326164,OCENI,"","Tours - Châteauroux (car)",,3,,,
OCE2322164,OCENI,"","Tours - Loches (car)",,3,,,
OCE2346169,OCESN,"","TAD34 Paris <> St Quentin",,3,,,
OCE1474042,OCESN,"","[HDF26] TAD BRACHES - HARGICOURT",,3,,,
OCE1197978,OCESN,"","Nantes-Bordeaux",,2,,,
OCE637144,OCESN,"","Car METZ - VERDUN",,3,,,
OCE637138,OCESN,"","Car LUTZELBOURG - SARREBOURG",,3,,,
OCE637137,OCESN,"","Car BITCHE - SARREGUEMINES",,3,,,
OCE637135,OCESN,"","Car METZ - LONGWY",,3,,,
OCE637171,OCESN,"","Car LA BRESSE - REMIREMONT",,3,,,
OCE637180,OCESN,"","Car BRUYERES - LUNEVILLE",,3,,,
OCE637145,OCESN,"","Car THIONVILLE - AUDUN LE ROMAN",,3,,,
OCE637179,OCESN,"","Car EPINAL-MIRECOURT-CONTREX-NEUFCHATEAU",,3,,,
OCE140660,OCENI,"","ligne routière La Bastide Langogne Mende",,3,,,
OCE140661,OCENI,"","ligne routière Mende Le Puy",,3,,,
OCE2302213,OCESN,"","Vendôme Villiers TGV - Château Renault (car)",,3,,,
OCE817872,OCESN,"","Chateau Renault - Vendome CAR",,3,,,
OCE817867,OCESN,"","Tours - Vendôme - Chateaudun - Chartres CAR",,3,,,
OCESN-87571000-87574558,OCESN,"","Tours - Vendôme",,3,,,
OCESN-87726364-87571000,OCESN,"","Chartres Pôle Compa - Tours",,3,,,
OCESN-87545756-87574558,OCESN,"","Châteaudun - Vendôme",,3,,,
OCESN-87545756-87571000,OCESN,"","Châteaudun - Tours",,3,,,
OCESN-87726364-87574558,OCESN,"","Chartres Pôle Compa - Vendôme",,3,,,
OCE817861,OCESN,"","Dourdan - Chateaudun CAR",,3,,,
OCESN-87690248-87545525,OCESN,"","Châteaudun-LEP-Paulsen - Dourdan",,3,,,
OCESN-87545756-87545525,OCESN,"","Châteaudun - Dourdan",,3,,,
OCE2298166,OCESN,"","Blois - Tours (car)",,3,,,
OCE817849,OCESN,"","Blois - Limeray CAR",,3,,,
OCESN-87402008-87576009,OCESN,"","Romorantin-BA-G.R. - Vierzon",,3,,,
OCE817876,OCESN,"","Romorantin - Vierzon CAR",,3,,,
OCESN-87402008-87437376,OCESN,"","Romorantin-BA-G.R. - Vierzon-Médiathèque",,3,,,
OCE817854,OCESN,"","Loches - Chateauroux CAR",,3,,,
OCE817855,OCESN,"","Tours - Chateauroux CAR",,3,,,
OCE817853,OCESN,"","Tours - Loches CAR",,3,,,
OCE817863,OCESN,"","Thésée - St Aignan - Romorantin CAR",,3,,,
OCESN-87402008-87328195,OCESN,"","Romorantin-BA-G.R. - Thesee",,3,,,
OCESN-87402008-87643825,OCESN,"","Romorantin-BA-G.R. - St-Aignan-Lep",,3,,,
OCESN-87402008-87643833,OCESN,"","Romorantin-BA-G.R. - St-Aignan-Pl-Wilson",,3,,,
OCE2302172,OCESN,"","Eguzon - Issoudun (car)",,3,,,
OCESN-87543140-87689943,OCESN,"","Lamotte-Beuvron - Romorantin-Lycée-de-F",,3,,,
OCE817862,OCESN,"","Nouan - Lamotte - Romorantin CAR",,3,,,
OCESN-87543157-87402008,OCESN,"","Nouan-le-Fuzelier - Romorantin-BA-G.R.",,3,,,
OCESN-87543140-87402008,OCESN,"","Lamotte-Beuvron - Romorantin-BA-G.R.",,3,,,
OCESN-87309757-87402008,OCESN,"","Chaumont-sur-Tharonne - Romorantin-BA-G.R.",,3,,,
OCE2298164,OCESN,"","Poitiers - Le Blanc - Châteauroux (car)",,3,,,
OCE817866,OCESN,"","Châteauroux - Le Blanc - Poitiers CAR",,3,,,
OCESN-87597062-87576009,OCESN,"","Issoudun - Vierzon",,3,,,
OCE817858,OCESN,"","Vierzon - Issoudun CAR",,3,,,
OCE817870,OCESN,"","Bourges - Issoudun - Châteauroux CAR",,3,,,
OCESN-87201541-87689935,OCESN,"","Châteauroux Gare Rout. - Issoudun-Jardin",,3,,,
OCESN-87576207-87304642,OCESN,"","Bourges - Issoudun-Place-de-la-G.",,3,,,
OCESN-87576207-87201541,OCESN,"","Bourges - Châteauroux Gare Rout.",,3,,,
OCESN-00-87576207,OCESN,"","- Bourges",,3,,,
OCE817857,OCESN,"","Bourges - St Amand CAR",,3,,,
OCESN-00-87454249,OCESN,"","- Bourges-Gare-Routière",,3,,,
OCESN-87454249-87576298,OCESN,"","Bourges-Gare-Routière - Châteauneuf-sur-Cher",,3,,,
OCESN-87576207-87453381,OCESN,"","Bourges - Bruere-Allichamp-Mairie",,3,,,
OCE817868,OCESN,"","Sancerre - Cosne CAR",,3,,,
OCE2302200,OCESN,"","Cosne sur Loire - Sancerre (car)",,3,,,
OCESN-87684290-87338574,OCESN,"","Gien - Montargis-OT",,3,,,
OCE817859,OCESN,"","Montargis - Gien CAR",,3,,,
OCESN-87314518-87684290,OCESN,"","Aubigny-sur-Nere-Mail - Gien",,3,,,
OCE817869,OCESN,"","Aubigny - Gien CAR",,3,,,
OCE817871,OCESN,"","Mondoubleau - Vendome CAR",,3,,,
OCE2302212,OCESN,"","Vendôme - Mondoubleau (car)",,3,,,
OCE817860,OCESN,"","Droué-Courtalain-Chartres CAR",,3,,,
OCESN-87394452-87726364,OCESN,"","Brou - Chartres Pôle Compa",,3,,,
OCESN-87394452-87358556,OCESN,"","Brou - Droué (Centre)",,3,,,
OCESN-87394494-87358556,OCESN,"","Courtalain-St-Pellerin - Droué (Centre)",,3,,,
OCESN-87643999-87358556,OCESN,"","Courtalain-Centre - Droué (Centre)",,3,,,
OCE817851,OCESN,"","Tours - Chateau du Loir CAR",,3,,,
OCESN-87396606-87571000,OCESN,"","Château-du-Loir - Tours",,3,,,
OCESN-87110338-87571000,OCESN,"","St Christophe / Nais C. - Tours",,3,,,
OCE817850,OCESN,"","Tours - Chinon CAR",,3,,,
OCESN-87690172-87571000,OCESN,"","Chinon-Lycée-Rabelais - Tours",,3,,,
OCE160691,OCESN,"","Cars Aix Chambéry - Modane",,3,,,
OCE629127,OCESN,"","Cars Communay Sérézin",,3,,,
OCE2018129,OCESN,"","Cars EMB St Gervais - Chamonix",,3,,,
OCE1618110,OCESN,"","Cars Chambery - Aix-Les-Bains - Annecy",,3,,,
OCE156691,OCESN,"","Cars Roanne - St-Etienne",,3,,,
OCE156697,OCESN,"","Cars Ambérieu - Chambéry",,3,,,
OCE160693,OCESN,"","Cars (Aix) - Chambéry- Bourg-St-Maurice",,3,,,
OCE160697,OCESN,"","Cars Lyon - Grenoble",,3,,,
OCE156710,OCESN,"","Cars Villefranche - Lyon - Vienne",,3,,,
OCE629126,OCESN,"","Cars St Priest - St Pierre de Chandieu",,3,,,
OCE252844,OCESN,"","Cars Grenoble - Chambery",,3,,,
OCE160703,OCESN,"","Cars Ambérieu - Bourg-en-Bresse",,3,,,
OCE156693,OCESN,"","Cars Macon - Bourg-en-Bresse",,3,,,
OCE1634112,OCESN,"","Cars Grenoble - Gap - Briançon",,3,,,
OCE168688,OCESN,"","Cars Lyon St-Paul - Sain Bel",,3,,,
OCE156699,OCESN,"","Cars Lyon - (LTP - AMB) - Chambéry",,3,,,
OCE156689,OCESN,"","Cars Lyon - Ambérieu - St Rambert en B",,3,,,
OCE164703,OCESN,"","Cars Lyon - Bourg-en-Bresse (via Villars)",,3,,,
OCE156704,OCESN,"","Cars Clermont-Fd - Montbrison - St-Etienne",,3,,,
OCEFR=Line==608A9B0B-6DF0-475B-82BA-E9792D7972A5=,OCESN,"","ANNECY - COPPET",,2,,,
OCEFR=Line==7EF9EA42-DEB3-4717-ABDF-2E1B8BC66BFA=,OCESN,"","EVIAN - COPPET",,2,,,
OCEFR=Line==E937D19D-BA51-4EC8-9C8E-6B20FD5D6FF3=,OCESN,"","ST-GERVAIS - COPPET",,2,,,
OCE1598106,OCESN,"","Cars TER Bellegarde - Annecy",,3,,,
OCE1097905,OCESN,"","St Brieuc-Dinan",,3,,,
OCE2154138,OCESN,"","Cars réguliers Mulhouse Mullheim",,3,,,
OCE528888,OCESN,"","Cars Réguliers Sélestat - Ribeauvillé - (Riquewihr)",,3,,,
OCE2154139,OCESN,"","Sarre Union Diemeringen Sarralbe",,3,,,
OCE232738,OCESN,"","Cars Mâcon - Lyon",,3,,,
OCESN-87746115-87746008,OCESN,"","Albens - Annecy",,3,,,
OCE252843,OCESN,"","Cars Grenoble - Valence",,3,,,
OCE140640,OCESN,"","Cars Lyon - Chamonix",,3,,,
OCE140639,OCESN,"","Cars Grenoble - Annemasse - Evian",,3,,,
OCE156687,OCESN,"","Cars Lyon - Annecy",,3,,,
OCE140638,OCESN,"","Cars Grenoble - Chamonix",,3,,,
OCE140646,OCESN,"","Cars Lyon - Oyonnax - St-Claude - Morez",,3,,,
